customer_id;customer_name;age_group;gender;region;registration_date
PC105;Елена Лебедев;36-45;М;Центральный;2023-12-05
PC106;Михаил Попов;26-35;Ж;Сибирский;2023-12-12
PC107;Андрей Петров;18-25;М;Приволжский;2023-12-15
PC108;Ольга Волков;18-25;Ж;Центральный;2024-01-18
PC109;Ирина Павлов;46-55;Ж;Приволжский;2024-01-21
PC110;Светлана Петров;36-45;М;Северо-Западный;2024-01-30
PC111;Мария Семенов;36-45;Ж;Центральный;2024-02-05
PC112;Николай Лебедев;46-55;Ж;Северо-Западный;2024-02-16
PC113;Сергей Богданов;18-25;Ж;Центральный;2024-02-18
PC114;Александр Морозов;26-35;Ж;Сибирский;2024-03-12
PC115;Татьяна Лебедев;56+;М;Северо-Западный;2024-04-03
PC116;Александр Голубев;36-45;Ж;Приволжский;2024-04-04
PC117;Алексей Смирнов;36-45;Ж;Приволжский;2024-04-06
PC118;Мария Семенов;36-45;М;Центральный;2024-04-09
PC119;Владимир Лебедев;18-25;М;Центральный;2024-04-10
PC120;Елена Козлов;56+;М;Центральный;2024-04-10
PC121;Анна Голубев;46-55;М;Центральный;2024-04-25
PC122;Николай Смирнов;26-35;Ж;Центральный;2024-04-30
PC123;Ольга Сидоров;26-35;Ж;Приволжский;2024-05-03
PC124;Светлана Сидоров;18-25;М;Уральский;2024-05-07
PC125;Александр Петров;18-25;М;Центральный;2024-05-31
PC126;Андрей Попов;36-45;Ж;Северо-Западный;2024-06-06
PC127;Владимир Павлов;36-45;Ж;Северо-Западный;2024-06-11
PC128;Татьяна Голубев;36-45;Ж;Приволжский;2024-06-19
PC129;Алексей Смирнов;18-25;Ж;Сибирский;2024-06-21
PC130;Александр Петров;26-35;М;Сибирский;2024-06-29
PC131;Александр Сидоров;26-35;Ж;Сибирский;2024-06-29
PC132;Сергей Павлов;36-45;М;Центральный;2024-07-02
PC133;Алексей Сидоров;26-35;М;Центральный;2024-07-02
PC134;Александр Иванов;46-55;М;Северо-Западный;2024-07-05
PC135;Ольга Попов;26-35;М;Уральский;2024-07-06
PC136;Сергей Попов;26-35;Ж;Центральный;2024-07-11
PC137;Алексей Голубев;46-55;М;Приволжский;2024-07-21
PC138;Мария Павлов;46-55;Ж;Северо-Западный;2024-07-28
PC139;Михаил Иванов;36-45;М;Центральный;2024-08-03
PC140;Светлана Богданов;36-45;М;Центральный;2024-08-09
PC141;Владимир Сидоров;46-55;Ж;Приволжский;2024-08-14
PC142;Алексей Лебедев;36-45;Ж;Центральный;2024-08-18
PC143;Дмитрий Богданов;18-25;Ж;Северо-Западный;2024-09-17
PC144;Дмитрий Новиков;56+;М;Северо-Западный;2024-09-24
PC145;Татьяна Волков;26-35;Ж;Северо-Западный;2024-10-04
PC146;Мария Семенов;18-25;М;Центральный;2024-10-08
PC147;Михаил Волков;26-35;Ж;Центральный;2024-10-15
PC148;Ирина Лебедев;36-45;Ж;Уральский;2024-10-18
PC149;Анна Павлов;36-45;Ж;Сибирский;2024-10-25
PC150;Николай Иванов;18-25;Ж;Северо-Западный;2024-10-30
