order_id;customer_id;order_date;status;shipping_address;total_amount
48;47;2024-02-18;cancelled;г. Екатеринбург, проспект Ленина, д. 92, кв. 65;137960.82
49;31;2023-12-24;shipped;г. Санкт-Петербург, Литейный проспект, д. 86, кв. 84;116728.42
50;15;2023-11-14;delivered;г. Новосибирск, Красный проспект, д. 150, кв. 38;817362.45
51;31;2024-01-04;cancelled;г. Екатеринбург, проспект Ленина, д. 77, кв. 53;143368.47
52;13;2024-01-15;delivered;г. Новосибирск, ул. Державина, д. 47, кв. 100;132246.66
53;41;2023-11-21;delivered;г. Москва, Проспект Мира, д. 71, кв. 27;123601.8
54;49;2023-10-20;delivered;г. Екатеринбург, ул. 8 Марта, д. 110, кв. 62;464035.89
55;49;2023-10-01;cancelled;г. Москва, ул. Арбат, д. 58, кв. 89;874949.46
56;20;2023-11-10;delivered;г. Екатеринбург, проспект Ленина, д. 134, кв. 77;363859.83
57;2;2023-11-07;delivered;г. Санкт-Петербург, Невский проспект, д. 94, кв. 92;84968.31
58;17;2024-01-02;processing;г. Москва, ул. Тверская, д. 168, кв. 3;43602.47
59;27;2023-09-18;delivered;г. Екатеринбург, проспект Ленина, д. 40, кв. 27;346285.82
60;43;2023-12-20;processing;г. Санкт-Петербург, ул. Рубинштейна, д. 27, кв. 66;693315.47
61;13;2023-12-10;delivered;г. Москва, Проспект Мира, д. 54, кв. 89;684384.93
62;43;2023-09-25;shipped;г. Москва, ул. Тверская, д. 66, кв. 83;196363.46
63;4;2023-11-28;delivered;г. Новосибирск, Красный проспект, д. 174, кв. 41;256124.73
64;42;2023-12-29;shipped;г. Новосибирск, ул. Державина, д. 24, кв. 48;375873.66
65;25;2023-12-26;delivered;г. Санкт-Петербург, Невский проспект, д. 34, кв. 90;127404.83
66;27;2023-12-26;processing;г. Екатеринбург, ул. Малышева, д. 157, кв. 49;188257.97
67;32;2023-12-15;delivered;г. Москва, ул. Покровка, д. 168, кв. 41;115459.11
68;34;2024-01-24;processing;г. Санкт-Петербург, Литейный проспект, д. 87, кв. 67;342103.78
69;43;2023-12-05;shipped;г. Москва, ул. Тверская, д. 165, кв. 21;515180.42
70;4;2024-01-21;delivered;г. Екатеринбург, ул. Малышева, д. 21, кв. 59;237665.59
71;48;2023-09-13;delivered;г. Москва, ул. Тверская, д. 24, кв. 78;759432.53
72;4;2024-03-15;delivered;г. Екатеринбург, проспект Ленина, д. 169, кв. 47;250014.84
73;41;2023-11-18;shipped;г. Новосибирск, ул. Державина, д. 28, кв. 6;217719.42
74;47;2023-11-20;delivered;г. Санкт-Петербург, Невский проспект, д. 101, кв. 28;542715.93
75;38;2023-12-15;cancelled;г. Санкт-Петербург, ул. Рубинштейна, д. 2, кв. 68;13505.4
76;38;2024-01-25;delivered;г. Санкт-Петербург, Литейный проспект, д. 33, кв. 14;190195.89
77;45;2023-11-13;delivered;г. Новосибирск, Красный проспект, д. 35, кв. 18;149209.76
78;46;2024-01-21;delivered;г. Санкт-Петербург, Невский проспект, д. 160, кв. 92;97922.22
79;12;2024-02-21;delivered;г. Москва, ул. Покровка, д. 144, кв. 62;227874.52
80;34;2023-12-05;delivered;г. Москва, ул. Арбат, д. 69, кв. 97;126333.32
81;4;2023-11-07;shipped;г. Москва, ул. Покровка, д. 116, кв. 14;309716.11
82;45;2023-11-30;delivered;г. Екатеринбург, ул. 8 Марта, д. 176, кв. 41;1200539.56
83;46;2024-03-19;shipped;г. Санкт-Петербург, Литейный проспект, д. 50, кв. 38;536298.38
84;25;2023-12-18;delivered;г. Санкт-Петербург, Невский проспект, д. 150, кв. 33;79916.58
85;46;2023-09-05;delivered;г. Москва, ул. Покровка, д. 126, кв. 74;342576.54
86;11;2024-01-13;delivered;г. Новосибирск, ул. Ленина, д. 55, кв. 85;352030.14
87;31;2024-03-25;cancelled;г. Москва, ул. Тверская, д. 172, кв. 45;71541.06
88;25;2023-09-13;delivered;г. Новосибирск, ул. Ленина, д. 133, кв. 99;88861.31
89;42;2023-11-04;delivered;г. Москва, ул. Тверская, д. 54, кв. 86;78970.38
90;35;2024-02-25;delivered;г. Москва, ул. Арбат, д. 7, кв. 59;479616.56
91;36;2023-11-30;delivered;г. Екатеринбург, ул. 8 Марта, д. 116, кв. 81;396536.26
92;42;2023-09-25;processing;г. Москва, ул. Тверская, д. 92, кв. 65;133857.33
93;20;2023-11-25;shipped;г. Екатеринбург, ул. 8 Марта, д. 170, кв. 4;657876.74
94;41;2023-12-01;shipped;г. Санкт-Петербург, Невский проспект, д. 11, кв. 1;170548.79
95;23;2023-11-06;delivered;г. Санкт-Петербург, Литейный проспект, д. 65, кв. 25;191614.83
96;37;2024-03-25;shipped;г. Екатеринбург, проспект Ленина, д. 141, кв. 10;494133.17
97;38;2023-11-12;delivered;г. Санкт-Петербург, Невский проспект, д. 73, кв. 80;261961.44
98;32;2024-01-22;delivered;г. Санкт-Петербург, Литейный проспект, д. 146, кв. 47;234648.22
99;46;2023-12-09;delivered;г. Санкт-Петербург, Литейный проспект, д. 188, кв. 43;246601.21
100;12;2023-09-27;delivered;г. Санкт-Петербург, Литейный проспект, д. 51, кв. 34;11933.94
101;2;2024-02-01;processing;г. Екатеринбург, проспект Ленина, д. 55, кв. 5;317900.82
102;47;2023-10-15;shipped;г. Москва, Проспект Мира, д. 94, кв. 65;41629.83
103;40;2024-03-17;delivered;г. Екатеринбург, ул. Малышева, д. 46, кв. 73;211870.91
104;5;2023-11-02;cancelled;г. Санкт-Петербург, Литейный проспект, д. 93, кв. 50;589365.76
105;41;2024-03-24;delivered;г. Санкт-Петербург, ул. Рубинштейна, д. 168, кв. 49;332083.62
106;15;2023-11-27;delivered;г. Екатеринбург, ул. 8 Марта, д. 155, кв. 1;808680.29
107;12;2023-11-22;delivered;г. Екатеринбург, ул. 8 Марта, д. 185, кв. 15;289425.7
108;16;2023-11-05;cancelled;г. Москва, ул. Арбат, д. 15, кв. 22;217510.41
109;2;2024-02-22;delivered;г. Москва, ул. Арбат, д. 115, кв. 78;507875.89
110;40;2023-11-06;cancelled;г. Новосибирск, Красный проспект, д. 153, кв. 76;270414.1
111;25;2023-11-07;shipped;г. Екатеринбург, ул. Малышева, д. 156, кв. 13;204871.53
112;35;2023-09-03;shipped;г. Санкт-Петербург, Литейный проспект, д. 139, кв. 1;222631.16
113;31;2023-12-12;processing;г. Москва, Проспект Мира, д. 35, кв. 33;681681.36
114;13;2023-11-19;shipped;г. Москва, ул. Тверская, д. 97, кв. 84;161266.92
115;7;2023-12-09;shipped;г. Екатеринбург, проспект Ленина, д. 94, кв. 79;209668.68
116;36;2023-11-18;shipped;г. Екатеринбург, ул. 8 Марта, д. 79, кв. 74;294274.2
117;8;2023-12-26;delivered;г. Москва, ул. Арбат, д. 131, кв. 52;48296.36
118;11;2024-02-01;delivered;г. Санкт-Петербург, ул. Рубинштейна, д. 154, кв. 56;256591.78
119;15;2024-01-02;delivered;г. Екатеринбург, проспект Ленина, д. 168, кв. 67;299611.3
120;29;2023-12-07;delivered;г. Санкт-Петербург, Литейный проспект, д. 44, кв. 87;38683.44
121;42;2023-11-03;delivered;г. Екатеринбург, ул. 8 Марта, д. 172, кв. 51;355061.63
122;36;2023-12-12;delivered;г. Санкт-Петербург, Литейный проспект, д. 50, кв. 59;628368.54
123;5;2023-11-04;shipped;г. Новосибирск, ул. Державина, д. 148, кв. 33;233967.98
124;30;2024-03-01;shipped;г. Москва, ул. Покровка, д. 18, кв. 49;43144.43
125;27;2024-01-18;delivered;г. Новосибирск, ул. Ленина, д. 74, кв. 12;353673.86
126;23;2023-12-06;cancelled;г. Санкт-Петербург, ул. Рубинштейна, д. 189, кв. 26;124730.79
127;15;2023-11-27;processing;г. Новосибирск, ул. Ленина, д. 200, кв. 14;421199.31
128;43;2023-09-25;shipped;г. Москва, Проспект Мира, д. 96, кв. 80;536788.59
129;18;2024-03-19;delivered;г. Москва, Проспект Мира, д. 123, кв. 70;12312.28
130;26;2024-03-06;shipped;г. Москва, Проспект Мира, д. 81, кв. 89;326049.66
131;14;2023-09-11;delivered;г. Новосибирск, ул. Ленина, д. 141, кв. 34;721135.39
132;24;2023-12-07;delivered;г. Новосибирск, Красный проспект, д. 103, кв. 36;317367.64
133;18;2024-01-14;delivered;г. Санкт-Петербург, Невский проспект, д. 190, кв. 20;609538.52
134;47;2023-12-10;delivered;г. Москва, Проспект Мира, д. 26, кв. 89;573037.88
135;41;2023-12-09;delivered;г. Новосибирск, ул. Державина, д. 143, кв. 33;612715.6
136;13;2024-02-21;shipped;г. Санкт-Петербург, ул. Рубинштейна, д. 91, кв. 42;849633.73
137;10;2024-02-26;delivered;г. Екатеринбург, проспект Ленина, д. 157, кв. 74;538285.42
138;19;2024-01-21;delivered;г. Новосибирск, Красный проспект, д. 200, кв. 47;498698.7
139;17;2024-02-24;delivered;г. Санкт-Петербург, Невский проспект, д. 102, кв. 14;256591.78
140;36;2023-12-17;delivered;г. Москва, ул. Покровка, д. 159, кв. 20;85720.9
141;20;2023-12-15;cancelled;г. Санкт-Петербург, Невский проспект, д. 135, кв. 22;155538.81
142;23;2023-11-28;shipped;г. Екатеринбург, проспект Ленина, д. 70, кв. 71;484997.47
143;48;2024-01-14;shipped;г. Новосибирск, Красный проспект, д. 124, кв. 70;419497.74
144;27;2023-12-01;delivered;г. Санкт-Петербург, ул. Рубинштейна, д. 74, кв. 61;601836.11
145;15;2024-01-12;delivered;г. Екатеринбург, проспект Ленина, д. 112, кв. 51;94990.92
146;25;2023-10-09;delivered;г. Екатеринбург, проспект Ленина, д. 62, кв. 67;580066.06
147;5;2023-12-04;cancelled;г. Екатеринбург, проспект Ленина, д. 116, кв. 35;550471.49
148;19;2023-12-24;delivered;г. Санкт-Петербург, Невский проспект, д. 39, кв. 2;836148.94
149;3;2024-03-25;delivered;г. Москва, ул. Покровка, д. 199, кв. 51;7804.66
150;12;2023-12-27;delivered;г. Москва, ул. Тверская, д. 197, кв. 92;72556.33
