id;фио;город;возраст;сумма_покупок;дата_регистрации
CL1058;Петрова Александр;Челябинск;43;33160;18.11.2024
CL1059;Васильева Дмитрий;Санкт-Петербург;20;43450;13.03.2024
CL1060;Васильев Наталья;Санкт-Петербург;45;12199;04.07.2024
CL1061;Иванов Татьяна;Санкт-Петербург;63;46247;10.11.2024
CL1062;Кузнецов Максим;Москва;32;43222;20.10.2024
CL1063;Попов Ирина;Новосибирск;34;71416;08.10.2024
CL1064;Сидоров Татьяна;Москва;47;12955;15.11.2024
CL1065;Попова Ирина;Челябинск;27;64047;28.12.2024
CL1066;Попов Артем;Екатеринбург;42;65386;17.10.2024
CL1067;Попов Мария;Санкт-Петербург;62;27995;20.03.2024
CL1068;Петров Татьяна;Нижний Новгород;29;49188;07.11.2024
CL1069;Васильева Анна;Омск;27;42069;01.08.2024
CL1070;Кузнецов Ольга;Новосибирск;63;7498;11.05.2024
CL1071;Васильева Сергей;Челябинск;20;33330;09.06.2024
CL1072;Петрова Андрей;Нижний Новгород;39;56785;03.06.2024
CL1073;Иванов Александр;Ростов-на-Дону;38;35835;22.07.2024
CL1074;Смирнова Елена;Новосибирск;22;20519;09.02.2024
CL1075;Сидорова Максим;Самара;46;43312;20.04.2024
CL1076;Иванов Дмитрий;Екатеринбург;30;64236;23.09.2024
CL1077;Попова Мария;Санкт-Петербург;19;7299;15.09.2024
CL1078;Кузнецова Андрей;Челябинск;40;12439;07.07.2024
CL1079;Кузнецова Максим;Санкт-Петербург;25;16393;23.05.2024
CL1080;Петрова Андрей;Омск;62;22742;09.07.2024
CL1081;Попов Артем;Екатеринбург;36;79948;06.06.2024
CL1082;Смирнова Наталья;Челябинск;18;24809;27.11.2024
CL1083;Петрова Максим;Новосибирск;48;37646;11.01.2024
CL1084;Кузнецова Дмитрий;Челябинск;30;50895;20.11.2024
CL1085;Кузнецова Анна;Казань;61;32302;25.03.2024
CL1086;Васильева Татьяна;Казань;39;50872;22.05.2024
CL1087;Петрова Дмитрий;Екатеринбург;56;31544;17.04.2024
CL1088;Иванова Анна;Нижний Новгород;39;78567;23.02.2024
CL1089;Кузнецова Артем;Челябинск;64;10284;28.01.2024
CL1090;Иванова Сергей;Москва;42;55753;12.10.2024
CL1091;Смирнова Артем;Омск;51;44162;08.12.2024
CL1092;Петров Юлия;Ростов-на-Дону;64;28768;22.02.2024
CL1093;Кузнецова Ольга;Казань;47;33122;28.09.2024
CL1094;Сидорова Артем;Самара;64;49586;16.03.2024
CL1095;Петров Анна;Москва;56;26977;06.08.2024
CL1096;Кузнецов Анна;Ростов-на-Дону;31;46043;10.12.2024
CL1097;Смирнова Ирина;Самара;22;36274;25.05.2024
CL1098;Петров Максим;Самара;47;18872;10.01.2024
CL1099;Петрова Наталья;Самара;63;14172;05.08.2024
CL1100;Сидорова Андрей;Казань;45;15518;09.07.2024
CL1101;Иванов Сергей;Казань;64;14940;03.07.2024
CL1102;Смирнов Александр;Новосибирск;30;78200;22.01.2024
CL1103;Смирнова Андрей;Челябинск;58;6179;22.06.2024
CL1104;Кузнецов Сергей;Самара;32;22915;11.07.2024
CL1105;Иванова Анна;Самара;38;34244;27.05.2024
CL1106;Иванов Мария;Ростов-на-Дону;44;45550;09.07.2024
CL1107;Иванова Анна;Казань;29;78466;18.03.2024
CL1108;Иванова Андрей;Нижний Новгород;57;5251;18.06.2024
CL1109;Кузнецов Ирина;Нижний Новгород;29;30458;27.02.2024
CL1110;Кузнецов Юлия;Ростов-на-Дону;45;24705;14.01.2024
CL1111;Кузнецов Елена;Нижний Новгород;60;44246;08.05.2024
CL1112;Иванова Ольга;Нижний Новгород;38;74726;23.03.2024
CL1113;Васильева Сергей;Омск;45;30543;13.11.2024
CL1114;Петров Артем;Новосибирск;63;43008;21.01.2024
CL1115;Смирнова Елена;Омск;48;39908;17.08.2024
CL1116;Петрова Анна;Екатеринбург;56;5115;02.04.2024
CL1117;Иванова Елена;Ростов-на-Дону;55;16790;01.11.2024
CL1118;Васильев Дмитрий;Ростов-на-Дону;59;8556;04.06.2024
CL1119;Попов Ирина;Санкт-Петербург;34;11077;11.11.2024
CL1120;Сидоров Мария;Омск;52;39939;25.07.2024
CL1121;Васильева Артем;Санкт-Петербург;48;28973;14.01.2024
CL1122;Васильев Андрей;Новосибирск;33;76661;21.07.2024
CL1123;Васильева Юлия;Нижний Новгород;57;48562;06.11.2024
CL1124;Иванова Анна;Санкт-Петербург;34;38282;24.08.2024
CL1125;Кузнецова Мария;Челябинск;58;13309;26.10.2024
CL1126;Петров Ольга;Санкт-Петербург;60;40568;02.09.2024
CL1127;Васильев Артем;Екатеринбург;25;18624;02.10.2024
CL1128;Смирнов Мария;Омск;26;74541;25.02.2024
CL1129;Кузнецова Максим;Екатеринбург;57;28551;19.11.2024
CL1130;Кузнецов Алексей;Челябинск;28;56933;08.04.2024
CL1131;Васильев Дмитрий;Омск;48;6890;27.10.2024
CL1132;Сидорова Алексей;Санкт-Петербург;51;30082;09.03.2024
CL1133;Смирнов Сергей;Новосибирск;51;21807;12.06.2024
CL1134;Кузнецова Андрей;Нижний Новгород;57;19402;23.04.2024
CL1135;Иванова Максим;Самара;42;65501;13.03.2024
CL1136;Смирнов Мария;Челябинск;45;46481;16.12.2024
CL1137;Иванов Наталья;Новосибирск;31;40975;18.04.2024
CL1138;Сидоров Юлия;Новосибирск;37;27385;08.12.2024
CL1139;Васильев Анна;Новосибирск;54;25456;18.11.2024
CL1140;Петров Мария;Екатеринбург;44;72970;28.09.2024
CL1141;Иванов Юлия;Ростов-на-Дону;46;16017;12.05.2024
CL1142;Сидорова Дмитрий;Екатеринбург;31;29279;14.08.2024
CL1143;Петров Александр;Москва;38;47544;07.02.2024
CL1144;Иванов Артем;Екатеринбург;61;18150;17.08.2024
CL1145;Кузнецова Ирина;Нижний Новгород;55;35017;12.11.2024
CL1146;Смирнов Сергей;Екатеринбург;51;49189;06.10.2024
CL1147;Попов Мария;Новосибирск;22;33850;11.11.2024
CL1148;Петров Анна;Москва;52;9471;08.07.2024
CL1149;Петрова Ирина;Казань;22;15284;03.07.2024
CL1150;Смирнов Мария;Нижний Новгород;32;19475;10.12.2024
CL1151;Петров Татьяна;Нижний Новгород;59;37730;04.08.2024
CL1152;Петров Сергей;Нижний Новгород;37;28065;04.05.2024
CL1153;Кузнецов Ирина;Екатеринбург;57;46382;15.09.2024
CL1154;Кузнецова Ольга;Новосибирск;65;29707;23.05.2024
CL1155;Петров Ирина;Нижний Новгород;19;35544;08.09.2024
CL1156;Сидоров Ирина;Екатеринбург;37;40420;19.07.2024
CL1157;Васильева Артем;Челябинск;65;24243;19.07.2024
CL1158;Смирнова Татьяна;Новосибирск;36;62733;11.10.2024
CL1159;Васильева Ольга;Казань;60;35506;13.08.2024
CL1160;Кузнецова Алексей;Новосибирск;37;74313;13.12.2024
CL1161;Васильев Андрей;Санкт-Петербург;45;47583;19.03.2024
CL1162;Иванова Дмитрий;Санкт-Петербург;37;13009;27.04.2024
CL1163;Иванова Мария;Нижний Новгород;57;34507;21.05.2024
CL1164;Сидоров Елена;Екатеринбург;64;20466;24.06.2024
CL1165;Васильева Дмитрий;Казань;23;12912;26.11.2024
CL1166;Сидоров Елена;Омск;41;61708;25.06.2024
CL1167;Иванова Анна;Самара;22;13796;22.09.2024
CL1168;Кузнецов Юлия;Самара;36;74045;01.03.2024
CL1169;Петров Юлия;Екатеринбург;62;7803;03.01.2024
CL1170;Петрова Алексей;Нижний Новгород;33;53579;23.07.2024
CL1171;Попов Ольга;Новосибирск;36;71083;02.02.2024
CL1172;Петрова Елена;Москва;59;40718;20.07.2024
CL1173;Петров Максим;Самара;33;38041;27.09.2024
CL1174;Петров Дмитрий;Ростов-на-Дону;59;20941;07.03.2024
CL1175;Попова Наталья;Екатеринбург;65;42563;14.07.2024
CL1176;Петрова Дмитрий;Нижний Новгород;24;28554;02.01.2024
CL1177;Смирнова Мария;Ростов-на-Дону;35;17321;07.01.2024
CL1178;Васильев Александр;Санкт-Петербург;56;43269;25.12.2024
CL1179;Васильев Александр;Нижний Новгород;23;7571;15.07.2024
CL1180;Попова Максим;Екатеринбург;54;19147;05.04.2024
CL1181;Смирнов Андрей;Омск;50;5285;11.06.2024
CL1182;Иванов Наталья;Самара;51;42336;15.11.2024
CL1183;Васильев Дмитрий;Омск;50;47176;04.08.2024
CL1184;Смирнова Артем;Ростов-на-Дону;22;39707;18.07.2024
CL1185;Попов Александр;Нижний Новгород;50;30431;03.10.2024
CL1186;Петрова Максим;Санкт-Петербург;58;13414;09.12.2024
CL1187;Петрова Анна;Новосибирск;38;36272;02.09.2024
CL1188;Иванова Александр;Самара;59;8490;07.02.2024
CL1189;Попов Ирина;Москва;24;13288;12.04.2024
CL1190;Кузнецова Елена;Челябинск;23;33841;24.03.2024
CL1191;Иванова Наталья;Ростов-на-Дону;24;18330;01.09.2024
CL1192;Иванов Александр;Ростов-на-Дону;39;73602;11.02.2024
CL1193;Смирнова Александр;Нижний Новгород;27;40202;11.07.2024
CL1194;Иванова Алексей;Ростов-на-Дону;55;31163;19.10.2024
CL1195;Сидорова Наталья;Омск;50;33639;06.05.2024
CL1196;Кузнецова Мария;Ростов-на-Дону;52;14491;14.12.2024
CL1197;Смирнов Татьяна;Самара;19;26257;02.05.2024
CL1198;Сидорова Александр;Санкт-Петербург;53;28314;16.11.2024
CL1199;Кузнецов Юлия;Санкт-Петербург;61;32280;08.06.2024
