customer_id;customer_name;email;phone;country;city;registration_date;customer_segment;birth_date;is_active
22;Клиент 0022;customer22@example.com;+79717739650;Россия;Нижний Новгород;2023-02-15;Стандарт;2004-07-02;0
23;Клиент 0023;customer23@example.com;+79170271203;Узбекистан;Нижний Новгород;2025-07-08;Экономный;1988-02-07;1
24;Клиент 0024;customer24@example.com;+79585680788;Беларусь;Екатеринбург;2025-02-01;Экономный;1986-01-01;1
25;Клиент 0025;customer25@example.com;+79261176186;Казахстан;Нижний Новгород;2022-11-02;Стандарт;2002-04-24;0
26;Клиент 0026;customer26@example.com;+79211629001;Узбекистан;Екатеринбург;2025-03-23;Премиум;2004-12-27;1
27;Клиент 0027;customer27@example.com;+79091375460;Узбекистан;Нижний Новгород;2024-05-19;Премиум;1989-11-28;1
28;Клиент 0028;customer28@example.com;+79997908074;Узбекистан;Новосибирск;2024-12-04;Стандарт;1971-12-17;0
29;Клиент 0029;customer29@example.com;+79275792454;Узбекистан;Самара;2025-07-08;Стандарт;1961-03-01;0
30;Клиент 0030;customer30@example.com;+79654715028;Россия;Ростов-на-Дону;2024-12-19;Экономный;1992-12-30;0
31;Клиент 0031;customer31@example.com;+79742245134;Россия;Нижний Новгород;2024-12-27;Стандарт;1985-09-23;1
32;Клиент 0032;customer32@example.com;+79385119576;Казахстан;Самара;2023-11-27;Стандарт;1965-02-16;1
33;Клиент 0033;customer33@example.com;+79903688443;Украина;Челябинск;2025-04-29;Экономный;1996-02-29;1
34;Клиент 0034;customer34@example.com;+79395692326;Россия;Казань;2023-07-26;Премиум;1995-11-30;1
35;Клиент 0035;customer35@example.com;+79058960852;Украина;Москва;2023-11-14;Экономный;1974-11-12;0
36;Клиент 0036;customer36@example.com;+79615823492;Беларусь;Екатеринбург;2023-01-24;Экономный;1988-07-20;0
37;Клиент 0037;customer37@example.com;+79266731758;Украина;Омск;2023-09-30;Экономный;1990-02-01;1
38;Клиент 0038;customer38@example.com;+79132434638;Россия;Челябинск;2024-08-26;Экономный;1986-08-21;0
39;Клиент 0039;customer39@example.com;+79574565356;Россия;Самара;2022-12-31;Экономный;1961-07-15;1
40;Клиент 0040;customer40@example.com;+79641765260;Россия;Самара;2024-06-08;Экономный;1987-03-09;1
41;Клиент 0041;customer41@example.com;+79344266714;Украина;Екатеринбург;2025-08-06;Экономный;1961-11-27;1
42;Клиент 0042;customer42@example.com;+79446737490;Беларусь;Челябинск;2024-09-24;Премиум;1991-04-21;1
43;Клиент 0043;customer43@example.com;+79212859454;Россия;Казань;2024-10-01;Экономный;1975-10-08;1
44;Клиент 0044;customer44@example.com;+79325078349;Украина;Самара;2024-08-02;Премиум;1959-12-24;1
45;Клиент 0045;customer45@example.com;+79475358839;Узбекистан;Омск;2025-02-04;Экономный;1974-08-01;1
46;Клиент 0046;customer46@example.com;+79682350044;Украина;Челябинск;2025-04-18;Стандарт;1994-12-20;1
47;Клиент 0047;customer47@example.com;+79817865094;Украина;Омск;2023-04-01;Стандарт;2003-11-23;1
48;Клиент 0048;customer48@example.com;+79998161693;Казахстан;Екатеринбург;2024-08-01;Премиум;1976-07-10;1
49;Клиент 0049;customer49@example.com;+79995506976;Россия;Москва;2023-05-31;Стандарт;1994-08-06;1
50;Клиент 0050;customer50@example.com;+79992859137;Казахстан;Челябинск;2025-06-10;Экономный;1972-09-02;1
51;Клиент 0051;customer51@example.com;+79303383580;Беларусь;Екатеринбург;2025-01-16;Экономный;1996-04-09;1
52;Клиент 0052;customer52@example.com;+79500251451;Казахстан;Челябинск;2024-10-25;Премиум;1960-03-19;0
53;Клиент 0053;customer53@example.com;+79418852539;Россия;Самара;2024-08-13;Премиум;1981-12-03;1
54;Клиент 0054;customer54@example.com;+79135268706;Россия;Самара;2025-01-28;Стандарт;1999-01-11;1
55;Клиент 0055;customer55@example.com;+79310050023;Беларусь;Екатеринбург;2023-09-12;Стандарт;1978-12-24;1
56;Клиент 0056;customer56@example.com;+79636539039;Беларусь;Санкт-Петербург;2025-02-21;Экономный;2000-12-24;1
57;Клиент 0057;customer57@example.com;+79135449274;Украина;Новосибирск;2023-04-30;Премиум;1983-06-15;1
58;Клиент 0058;customer58@example.com;+79105453641;Казахстан;Екатеринбург;2025-06-29;Стандарт;2002-03-25;0
59;Клиент 0059;customer59@example.com;+79064022360;Россия;Новосибирск;2023-05-29;Премиум;1994-10-09;0
60;Клиент 0060;customer60@example.com;+79717634933;Россия;Нижний Новгород;2024-12-02;Стандарт;1963-08-05;1
61;Клиент 0061;customer61@example.com;+79366637040;Казахстан;Санкт-Петербург;2023-04-04;Экономный;1992-05-15;1
62;Клиент 0062;customer62@example.com;+79371036777;Казахстан;Москва;2023-06-06;Премиум;1989-03-30;1
63;Клиент 0063;customer63@example.com;+79251763667;Казахстан;Омск;2024-01-23;Премиум;2000-05-06;1
64;Клиент 0064;customer64@example.com;+79397940464;Казахстан;Челябинск;2023-08-12;Премиум;1980-12-05;1
65;Клиент 0065;customer65@example.com;+79859500479;Беларусь;Омск;2025-08-28;Премиум;1985-04-07;1
66;Клиент 0066;customer66@example.com;+79654992652;Беларусь;Самара;2024-08-23;Премиум;2002-03-01;1
67;Клиент 0067;customer67@example.com;+79205814698;Казахстан;Нижний Новгород;2025-04-12;Стандарт;1981-10-25;0
68;Клиент 0068;customer68@example.com;+79415848786;Россия;Казань;2024-10-04;Экономный;1988-10-14;1
69;Клиент 0069;customer69@example.com;+79837625755;Казахстан;Нижний Новгород;2024-10-08;Премиум;1966-10-10;1
70;Клиент 0070;customer70@example.com;+79290393841;Россия;Санкт-Петербург;2025-02-08;Стандарт;1998-09-11;1
71;Клиент 0071;customer71@example.com;+79270660023;Украина;Санкт-Петербург;2024-12-11;Экономный;1991-03-13;1
72;Клиент 0072;customer72@example.com;+79715359963;Узбекистан;Санкт-Петербург;2025-01-02;Стандарт;1973-12-08;1
73;Клиент 0073;customer73@example.com;+79471917899;Казахстан;Москва;2023-12-12;Премиум;1966-10-18;1
74;Клиент 0074;customer74@example.com;+79899058327;Украина;Нижний Новгород;2023-03-15;Экономный;1968-07-29;1
75;Клиент 0075;customer75@example.com;+79445988846;Казахстан;Екатеринбург;2025-09-03;Премиум;1999-02-25;0
76;Клиент 0076;customer76@example.com;+79575662444;Беларусь;Челябинск;2024-09-11;Премиум;1999-07-31;0
77;Клиент 0077;customer77@example.com;+79131013614;Узбекистан;Челябинск;2025-07-17;Стандарт;1988-08-11;1
78;Клиент 0078;customer78@example.com;+79939553175;Беларусь;Казань;2024-08-14;Экономный;1966-10-09;1
79;Клиент 0079;customer79@example.com;+79330834863;Беларусь;Екатеринбург;2024-11-10;Стандарт;2005-10-04;1
80;Клиент 0080;customer80@example.com;+79070504319;Казахстан;Новосибирск;2023-04-22;Экономный;1976-08-24;1
81;Клиент 0081;customer81@example.com;+79482083973;Узбекистан;Екатеринбург;2025-04-28;Стандарт;1972-05-27;0
82;Клиент 0082;customer82@example.com;+79080107400;Казахстан;Санкт-Петербург;2023-08-18;Стандарт;1961-12-21;1
83;Клиент 0083;customer83@example.com;+79223588287;Россия;Новосибирск;2025-07-02;Экономный;1973-04-11;1
84;Клиент 0084;customer84@example.com;+79855957175;Украина;Ростов-на-Дону;2023-05-14;Стандарт;1962-08-26;1
85;Клиент 0085;customer85@example.com;+79460243180;Россия;Санкт-Петербург;2023-05-29;Премиум;1965-06-18;1
86;Клиент 0086;customer86@example.com;+79839727267;Узбекистан;Казань;2024-11-29;Стандарт;1997-10-10;0
87;Клиент 0087;customer87@example.com;+79441280420;Казахстан;Омск;2024-02-01;Экономный;1962-05-09;1
88;Клиент 0088;customer88@example.com;+79558071393;Узбекистан;Ростов-на-Дону;2024-11-13;Премиум;2006-11-16;0
89;Клиент 0089;customer89@example.com;+79031622645;Беларусь;Казань;2022-12-27;Стандарт;1966-05-16;1
90;Клиент 0090;customer90@example.com;+79213333084;Казахстан;Москва;2023-10-11;Стандарт;1966-04-27;1
91;Клиент 0091;customer91@example.com;+79861384203;Беларусь;Челябинск;2022-12-03;Экономный;1970-07-31;1
92;Клиент 0092;customer92@example.com;+79248602169;Узбекистан;Челябинск;2025-04-07;Премиум;2000-10-09;1
93;Клиент 0093;customer93@example.com;+79944464601;Узбекистан;Самара;2024-05-17;Стандарт;1975-12-22;1
94;Клиент 0094;customer94@example.com;+79843340875;Беларусь;Нижний Новгород;2023-05-05;Экономный;1968-10-30;0
95;Клиент 0095;customer95@example.com;+79782538582;Россия;Омск;2025-02-06;Экономный;1996-05-14;1
96;Клиент 0096;customer96@example.com;+79158022746;Казахстан;Челябинск;2024-11-20;Экономный;1984-08-25;1
97;Клиент 0097;customer97@example.com;+79702255442;Казахстан;Самара;2022-10-28;Экономный;1972-05-13;1
98;Клиент 0098;customer98@example.com;+79376005135;Узбекистан;Самара;2024-02-15;Премиум;1977-06-29;1
99;Клиент 0099;customer99@example.com;+79342072782;Россия;Челябинск;2023-06-15;Стандарт;1980-01-18;1
100;Клиент 0100;customer100@example.com;+79015534699;Россия;Москва;2023-01-28;Экономный;1987-01-30;1
101;Клиент 0101;customer101@example.com;+79752019045;Узбекистан;Омск;2024-05-03;Стандарт;1984-04-03;1
102;Клиент 0102;customer102@example.com;+79198270968;Казахстан;Самара;2025-06-29;Премиум;1965-05-23;0
103;Клиент 0103;customer103@example.com;+79373865063;Казахстан;Казань;2025-08-05;Стандарт;1979-10-24;1
104;Клиент 0104;customer104@example.com;+79221004831;Россия;Санкт-Петербург;2023-09-26;Экономный;1964-08-14;1
105;Клиент 0105;customer105@example.com;+79553419488;Украина;Челябинск;2022-12-13;Экономный;1974-09-12;0
106;Клиент 0106;customer106@example.com;+79374832689;Казахстан;Нижний Новгород;2024-08-24;Экономный;2003-06-06;0
107;Клиент 0107;customer107@example.com;+79425114860;Россия;Нижний Новгород;2025-01-07;Экономный;1960-01-14;0
108;Клиент 0108;customer108@example.com;+79096248360;Россия;Нижний Новгород;2024-03-26;Премиум;2001-06-02;1
109;Клиент 0109;customer109@example.com;+79878446244;Украина;Челябинск;2023-04-23;Стандарт;2002-08-08;1
110;Клиент 0110;customer110@example.com;+79321182758;Узбекистан;Челябинск;2025-02-23;Стандарт;1981-08-20;1
111;Клиент 0111;customer111@example.com;+79357678956;Узбекистан;Новосибирск;2025-04-27;Премиум;1984-03-20;1
112;Клиент 0112;customer112@example.com;+79345047214;Россия;Екатеринбург;2022-11-14;Стандарт;1979-02-28;1
113;Клиент 0113;customer113@example.com;+79343373497;Узбекистан;Самара;2024-10-28;Стандарт;1963-04-27;1
114;Клиент 0114;customer114@example.com;+79900199165;Казахстан;Екатеринбург;2023-01-13;Стандарт;1973-08-31;1
115;Клиент 0115;customer115@example.com;+79911405986;Беларусь;Новосибирск;2024-06-07;Премиум;1963-01-20;0
116;Клиент 0116;customer116@example.com;+79672637683;Украина;Самара;2023-01-03;Стандарт;1977-03-31;0
117;Клиент 0117;customer117@example.com;+79699332021;Украина;Самара;2025-03-25;Премиум;1961-04-23;1
118;Клиент 0118;customer118@example.com;+79138853088;Казахстан;Москва;2022-09-13;Премиум;1982-11-30;0
119;Клиент 0119;customer119@example.com;+79652188287;Казахстан;Казань;2024-02-23;Премиум;1975-02-02;1
120;Клиент 0120;customer120@example.com;+79626251616;Украина;Омск;2025-03-18;Премиум;1963-02-19;1
121;Клиент 0121;customer121@example.com;+79180641841;Беларусь;Ростов-на-Дону;2024-12-01;Премиум;1977-09-26;1
122;Клиент 0122;customer122@example.com;+79172130657;Украина;Казань;2024-10-22;Экономный;1988-02-14;1
123;Клиент 0123;customer123@example.com;+79205374092;Узбекистан;Ростов-на-Дону;2024-01-05;Премиум;1968-06-10;1
124;Клиент 0124;customer124@example.com;+79027647553;Казахстан;Новосибирск;2023-03-02;Стандарт;1994-11-04;1
125;Клиент 0125;customer125@example.com;+79261322999;Россия;Нижний Новгород;2025-02-10;Премиум;1987-08-25;1
126;Клиент 0126;customer126@example.com;+79184728363;Россия;Омск;2023-03-27;Экономный;1996-01-19;1
127;Клиент 0127;customer127@example.com;+79702725894;Россия;Челябинск;2024-05-06;Премиум;1968-10-17;1
128;Клиент 0128;customer128@example.com;+79483790699;Казахстан;Ростов-на-Дону;2024-09-19;Стандарт;1964-04-15;0
129;Клиент 0129;customer129@example.com;+79333840563;Украина;Челябинск;2022-12-10;Экономный;2005-10-29;1
130;Клиент 0130;customer130@example.com;+79245701209;Беларусь;Самара;2024-08-05;Экономный;1971-07-07;1
131;Клиент 0131;customer131@example.com;+79170572313;Узбекистан;Новосибирск;2024-07-26;Премиум;1963-11-24;0
132;Клиент 0132;customer132@example.com;+79324967537;Казахстан;Москва;2025-02-22;Стандарт;1960-07-22;0
133;Клиент 0133;customer133@example.com;+79851383518;Узбекистан;Челябинск;2024-05-17;Экономный;1992-12-04;1
134;Клиент 0134;customer134@example.com;+79285629940;Казахстан;Новосибирск;2024-01-04;Экономный;1990-05-08;1
135;Клиент 0135;customer135@example.com;+79440293954;Узбекистан;Казань;2025-03-02;Стандарт;1995-09-08;1
136;Клиент 0136;customer136@example.com;+79541978152;Россия;Челябинск;2023-11-12;Экономный;1996-01-17;1
137;Клиент 0137;customer137@example.com;+79151853051;Беларусь;Нижний Новгород;2025-07-16;Премиум;2001-01-23;0
138;Клиент 0138;customer138@example.com;+79124936161;Украина;Самара;2023-12-24;Стандарт;1960-01-25;1
139;Клиент 0139;customer139@example.com;+79993989076;Беларусь;Казань;2023-08-31;Экономный;2000-05-15;1
140;Клиент 0140;customer140@example.com;+79401779856;Украина;Самара;2023-09-24;Стандарт;2001-09-06;1
141;Клиент 0141;customer141@example.com;+79696472788;Беларусь;Екатеринбург;2024-09-01;Экономный;1996-05-11;0
142;Клиент 0142;customer142@example.com;+79791147401;Украина;Нижний Новгород;2024-04-22;Стандарт;1997-10-01;1
143;Клиент 0143;customer143@example.com;+79897548198;Украина;Омск;2023-08-15;Экономный;1990-11-24;0
144;Клиент 0144;customer144@example.com;+79758970849;Казахстан;Самара;2025-08-23;Премиум;1963-10-22;1
145;Клиент 0145;customer145@example.com;+79477608233;Узбекистан;Нижний Новгород;2023-09-30;Экономный;1997-11-09;1
146;Клиент 0146;customer146@example.com;+79487623961;Россия;Екатеринбург;2023-10-15;Премиум;1966-01-24;1
147;Клиент 0147;customer147@example.com;+79527777055;Казахстан;Новосибирск;2024-08-26;Премиум;1999-04-26;1
148;Клиент 0148;customer148@example.com;+79840985058;Украина;Омск;2024-02-15;Стандарт;1995-10-18;1
149;Клиент 0149;customer149@example.com;+79278792781;Беларусь;Новосибирск;2023-04-29;Премиум;1982-12-01;1
150;Клиент 0150;customer150@example.com;+79959150340;Россия;Нижний Новгород;2023-12-25;Премиум;1960-02-09;0
151;Клиент 0151;customer151@example.com;+79664801094;Россия;Москва;2022-12-23;Премиум;1990-01-22;1
152;Клиент 0152;customer152@example.com;+79110526823;Узбекистан;Самара;2024-05-22;Премиум;1978-02-09;1
153;Клиент 0153;customer153@example.com;+79021337943;Россия;Санкт-Петербург;2024-06-06;Экономный;1999-06-05;0
154;Клиент 0154;customer154@example.com;+79312524095;Казахстан;Нижний Новгород;2022-11-22;Стандарт;1972-11-01;1
155;Клиент 0155;customer155@example.com;+79887492501;Казахстан;Москва;2024-06-23;Экономный;1973-11-03;1
156;Клиент 0156;customer156@example.com;+79924303361;Украина;Казань;2024-02-09;Премиум;1967-04-19;0
157;Клиент 0157;customer157@example.com;+79163884001;Россия;Нижний Новгород;2024-04-15;Экономный;1987-07-12;1
158;Клиент 0158;customer158@example.com;+79917349670;Россия;Москва;2023-03-21;Стандарт;1984-07-22;1
159;Клиент 0159;customer159@example.com;+79779219180;Беларусь;Санкт-Петербург;2023-06-26;Премиум;1965-11-04;1
160;Клиент 0160;customer160@example.com;+79264095318;Украина;Ростов-на-Дону;2023-05-14;Экономный;1987-10-21;1
161;Клиент 0161;customer161@example.com;+79302464820;Украина;Ростов-на-Дону;2023-10-27;Экономный;1994-11-15;1
162;Клиент 0162;customer162@example.com;+79546899466;Узбекистан;Нижний Новгород;2023-08-10;Премиум;1967-01-14;0
163;Клиент 0163;customer163@example.com;+79693415259;Казахстан;Новосибирск;2025-04-24;Экономный;1975-12-23;0
164;Клиент 0164;customer164@example.com;+79422385478;Украина;Екатеринбург;2023-08-27;Премиум;1960-08-26;1
165;Клиент 0165;customer165@example.com;+79183777760;Узбекистан;Новосибирск;2024-05-24;Стандарт;2006-05-25;1
166;Клиент 0166;customer166@example.com;+79410689745;Украина;Екатеринбург;2022-10-17;Премиум;1980-07-07;1
167;Клиент 0167;customer167@example.com;+79976241919;Казахстан;Екатеринбург;2024-05-27;Премиум;1959-11-01;0
168;Клиент 0168;customer168@example.com;+79721614782;Украина;Челябинск;2024-07-13;Экономный;1986-03-26;1
169;Клиент 0169;customer169@example.com;+79744147098;Казахстан;Ростов-на-Дону;2023-07-18;Стандарт;1973-04-11;1
170;Клиент 0170;customer170@example.com;+79574649632;Узбекистан;Ростов-на-Дону;2023-09-02;Экономный;1987-05-22;1
171;Клиент 0171;customer171@example.com;+79834650907;Украина;Санкт-Петербург;2023-10-05;Премиум;1996-02-01;0
172;Клиент 0172;customer172@example.com;+79431021648;Россия;Новосибирск;2025-05-10;Экономный;2005-10-25;1
173;Клиент 0173;customer173@example.com;+79945394123;Беларусь;Екатеринбург;2024-08-10;Премиум;1999-03-24;1
174;Клиент 0174;customer174@example.com;+79075174730;Узбекистан;Екатеринбург;2025-06-21;Стандарт;1979-09-05;1
175;Клиент 0175;customer175@example.com;+79789738022;Украина;Самара;2024-10-01;Экономный;1972-07-09;1
176;Клиент 0176;customer176@example.com;+79495400785;Россия;Нижний Новгород;2025-01-23;Экономный;2000-02-07;1
177;Клиент 0177;customer177@example.com;+79248012007;Узбекистан;Новосибирск;2022-09-07;Премиум;1998-01-24;1
178;Клиент 0178;customer178@example.com;+79934997220;Беларусь;Ростов-на-Дону;2025-03-13;Стандарт;1992-06-20;1
179;Клиент 0179;customer179@example.com;+79731611591;Беларусь;Нижний Новгород;2025-08-26;Стандарт;1992-05-15;1
180;Клиент 0180;customer180@example.com;+79015150693;Россия;Казань;2023-12-05;Премиум;1991-12-24;0
181;Клиент 0181;customer181@example.com;+79981698555;Украина;Ростов-на-Дону;2023-10-20;Премиум;1992-03-08;0
182;Клиент 0182;customer182@example.com;+79840060394;Россия;Санкт-Петербург;2025-04-05;Премиум;1976-08-28;0
183;Клиент 0183;customer183@example.com;+79900942237;Узбекистан;Москва;2022-09-28;Экономный;1982-06-07;1
184;Клиент 0184;customer184@example.com;+79750032656;Узбекистан;Новосибирск;2024-12-13;Экономный;1985-06-28;1
185;Клиент 0185;customer185@example.com;+79019574927;Россия;Казань;2023-03-03;Экономный;1991-08-12;1
186;Клиент 0186;customer186@example.com;+79363578860;Россия;Новосибирск;2023-01-29;Стандарт;1991-02-15;1
187;Клиент 0187;customer187@example.com;+79572545517;Узбекистан;Нижний Новгород;2023-12-10;Стандарт;1967-12-19;1
188;Клиент 0188;customer188@example.com;+79841256524;Украина;Нижний Новгород;2024-06-01;Премиум;1997-06-02;1
189;Клиент 0189;customer189@example.com;+79424260862;Казахстан;Челябинск;2023-03-06;Стандарт;1977-05-12;1
190;Клиент 0190;customer190@example.com;+79718186329;Узбекистан;Ростов-на-Дону;2024-02-06;Экономный;1972-12-18;1
191;Клиент 0191;customer191@example.com;+79471648022;Казахстан;Новосибирск;2025-01-26;Стандарт;1960-12-24;0
192;Клиент 0192;customer192@example.com;+79775999958;Россия;Казань;2023-02-02;Премиум;1998-10-03;1
193;Клиент 0193;customer193@example.com;+79362782853;Казахстан;Нижний Новгород;2024-02-05;Экономный;2002-07-22;0
194;Клиент 0194;customer194@example.com;+79982603859;Узбекистан;Москва;2024-04-16;Экономный;1989-08-04;0
195;Клиент 0195;customer195@example.com;+79281246181;Казахстан;Казань;2025-06-24;Стандарт;1984-02-10;1
196;Клиент 0196;customer196@example.com;+79233951491;Казахстан;Омск;2024-07-01;Экономный;1978-08-11;1
197;Клиент 0197;customer197@example.com;+79304168461;Россия;Челябинск;2024-08-22;Стандарт;1999-04-04;1
198;Клиент 0198;customer198@example.com;+79008361819;Беларусь;Омск;2024-10-13;Экономный;1981-01-29;1
199;Клиент 0199;customer199@example.com;+79467974288;Казахстан;Казань;2023-03-21;Стандарт;1962-05-30;1
200;Клиент 0200;customer200@example.com;+79242264656;Россия;Москва;2023-03-13;Стандарт;2004-05-12;1
201;Клиент 0201;customer201@example.com;+79207666862;Украина;Новосибирск;2025-04-25;Премиум;1998-02-07;1
202;Клиент 0202;customer202@example.com;+79842911375;Узбекистан;Омск;2024-09-04;Экономный;2000-06-28;1
203;Клиент 0203;customer203@example.com;+79499161883;Украина;Омск;2024-04-25;Экономный;2004-07-25;1
204;Клиент 0204;customer204@example.com;+79937101113;Украина;Санкт-Петербург;2023-04-24;Премиум;1995-09-22;1
205;Клиент 0205;customer205@example.com;+79644771805;Беларусь;Омск;2023-07-11;Экономный;1993-10-22;1
206;Клиент 0206;customer206@example.com;+79214810747;Беларусь;Новосибирск;2024-09-14;Стандарт;1973-06-16;1
207;Клиент 0207;customer207@example.com;+79654896899;Украина;Омск;2023-12-01;Стандарт;1982-07-06;1
208;Клиент 0208;customer208@example.com;+79861686278;Узбекистан;Самара;2024-05-29;Экономный;1998-07-16;1
209;Клиент 0209;customer209@example.com;+79720870874;Россия;Екатеринбург;2023-08-05;Стандарт;2003-05-29;0
210;Клиент 0210;customer210@example.com;+79821135399;Узбекистан;Самара;2025-06-23;Стандарт;1965-02-22;1
211;Клиент 0211;customer211@example.com;+79609728293;Узбекистан;Ростов-на-Дону;2024-12-31;Стандарт;1994-03-01;1
212;Клиент 0212;customer212@example.com;+79212230290;Россия;Екатеринбург;2024-08-10;Экономный;2000-10-11;1
213;Клиент 0213;customer213@example.com;+79307262127;Казахстан;Ростов-на-Дону;2023-05-13;Премиум;1996-05-02;1
214;Клиент 0214;customer214@example.com;+79467158863;Россия;Москва;2024-03-19;Стандарт;1987-12-02;0
215;Клиент 0215;customer215@example.com;+79610348640;Беларусь;Самара;2023-09-22;Стандарт;1980-10-18;0
216;Клиент 0216;customer216@example.com;+79984776642;Украина;Санкт-Петербург;2025-02-26;Стандарт;1998-06-11;1
217;Клиент 0217;customer217@example.com;+79973879880;Украина;Новосибирск;2025-08-24;Экономный;1961-08-24;1
218;Клиент 0218;customer218@example.com;+79632601746;Беларусь;Ростов-на-Дону;2023-08-16;Премиум;1993-04-07;1
219;Клиент 0219;customer219@example.com;+79512056660;Узбекистан;Москва;2022-10-03;Стандарт;1973-06-23;1
220;Клиент 0220;customer220@example.com;+79701787906;Россия;Омск;2025-07-05;Премиум;1989-02-26;1
221;Клиент 0221;customer221@example.com;+79973822761;Россия;Омск;2024-03-21;Премиум;1961-08-08;1
222;Клиент 0222;customer222@example.com;+79556657232;Россия;Новосибирск;2023-02-05;Стандарт;1972-12-31;1
223;Клиент 0223;customer223@example.com;+79292501332;Узбекистан;Новосибирск;2023-05-07;Экономный;1985-12-09;1
224;Клиент 0224;customer224@example.com;+79440467829;Казахстан;Москва;2023-02-07;Премиум;1993-11-21;1
225;Клиент 0225;customer225@example.com;+79056225885;Беларусь;Казань;2022-11-16;Экономный;1980-11-03;1
226;Клиент 0226;customer226@example.com;+79960851862;Беларусь;Нижний Новгород;2024-12-02;Стандарт;1995-01-09;1
227;Клиент 0227;customer227@example.com;+79124401782;Узбекистан;Новосибирск;2025-05-31;Стандарт;1972-03-15;1
228;Клиент 0228;customer228@example.com;+79980706577;Казахстан;Самара;2023-10-19;Стандарт;1994-12-24;1
229;Клиент 0229;customer229@example.com;+79820171420;Узбекистан;Нижний Новгород;2022-11-29;Экономный;1986-09-28;0
230;Клиент 0230;customer230@example.com;+79524665889;Россия;Ростов-на-Дону;2022-11-27;Экономный;1963-03-22;1
231;Клиент 0231;customer231@example.com;+79571551673;Беларусь;Самара;2024-11-20;Премиум;1982-12-06;1
232;Клиент 0232;customer232@example.com;+79190590982;Украина;Нижний Новгород;2024-12-23;Премиум;1989-07-15;1
233;Клиент 0233;customer233@example.com;+79382505181;Россия;Челябинск;2024-06-21;Премиум;1962-08-16;0
234;Клиент 0234;customer234@example.com;+79750967021;Казахстан;Омск;2023-03-18;Премиум;2003-09-14;1
235;Клиент 0235;customer235@example.com;+79192798772;Россия;Москва;2024-10-11;Экономный;1993-12-19;1
236;Клиент 0236;customer236@example.com;+79038816946;Узбекистан;Екатеринбург;2023-10-12;Стандарт;2000-05-08;0
237;Клиент 0237;customer237@example.com;+79051170866;Казахстан;Челябинск;2023-11-14;Премиум;1985-06-12;1
238;Клиент 0238;customer238@example.com;+79827846140;Узбекистан;Санкт-Петербург;2025-04-24;Премиум;1989-11-05;1
239;Клиент 0239;customer239@example.com;+79880223106;Узбекистан;Челябинск;2023-03-19;Стандарт;1985-06-27;1
240;Клиент 0240;customer240@example.com;+79675708605;Казахстан;Москва;2025-04-22;Стандарт;2004-05-16;1
241;Клиент 0241;customer241@example.com;+79948086052;Беларусь;Ростов-на-Дону;2025-03-19;Премиум;1993-12-22;0
242;Клиент 0242;customer242@example.com;+79519770333;Беларусь;Санкт-Петербург;2023-02-06;Премиум;1977-12-14;0
243;Клиент 0243;customer243@example.com;+79643067341;Украина;Нижний Новгород;2025-01-19;Экономный;1976-05-19;1
