order_id;customer_name;city;order_date;category;total_amount;payment_method
ORD0950;Андрей Васильев;Екатеринбург;2024-01-19;Ноутбуки;52976,83;Электронный кошелек
ORD0217;Елена Ильина;Санкт-Петербург;2024-01-19;Смартфоны;15000,0;Наличные при получении
ORD0225;Светлана Петрова;Москва;2024-01-19;Ноутбуки;111229,31;Банковская карта
ORD0344;Алексей Козлов;Санкт-Петербург;2024-01-19;Наушники;2000,0;Банковская карта
ORD0398;Мария Сидорова;Санкт-Петербург;2024-01-20;Смартфоны;15000,0;Банковская карта
ORD0622;Ольга Соколова;Москва;2024-01-20;Смартфоны;15000,0;Электронный кошелек
ORD0923;Андрей Васильев;Омск;2024-01-20;Наушники;3107,6;Наличные при получении
ORD0922;Елена Ильина;Новосибирск;2024-01-20;Смартфоны;15000,0;Наличные при получении
ORD0740;Юлия Кравцова;Санкт-Петербург;2024-01-20;Ноутбуки;32233,02;Банковская карта
ORD0323;Дмитрий Волков;Казань;2024-01-21;Аксессуары;569,54;Наличные при получении
ORD0966;Игорь Кузнецов;Санкт-Петербург;2024-01-21;Планшеты;12314,88;Наличные при получении
ORD0310;Мария Сидорова;Москва;2024-01-21;Аксессуары;659,34;Банковская карта
ORD0700;Ольга Соколова;Новосибирск;2024-01-21;Планшеты;18196,12;Наличные при получении
ORD0062;Дмитрий Волков;Москва;2024-01-21;Игровые консоли;43150,68;Банковская карта
ORD0919;Андрей Васильев;Челябинск;2024-01-21;Ноутбуки;33680,54;Банковская карта
ORD0918;Наталья Федорова;Ростов-на-Дону;2024-01-21;Планшеты;10000,0;Наличные при получении
ORD0182;Виктория Зайцева;Москва;2024-01-22;Ноутбуки;30000,0;Банковская карта
ORD0810;Татьяна Орлова;Москва;2024-01-22;Смартфоны;17542,78;Наличные при получении
ORD0895;Дмитрий Волков;Казань;2024-01-22;Планшеты;10000,0;Банковская карта
ORD0538;Елена Ильина;Москва;2024-01-22;Наушники;4004,09;Банковская карта
ORD0789;Ольга Соколова;Новосибирск;2024-01-23;Смартфоны;19006,6;Электронный кошелек
ORD0543;Сергей Лебедев;Москва;2024-01-24;Планшеты;14682,98;Наличные при получении
ORD0818;Игорь Кузнецов;Санкт-Петербург;2024-01-24;Аксессуары;541,12;Банковская карта
ORD0125;Юлия Кравцова;Москва;2024-01-24;Наушники;2328,11;Электронный кошелек
ORD0270;Татьяна Орлова;Москва;2024-01-24;Ноутбуки;62122,52;Банковская карта
ORD0015;Алексей Козлов;Москва;2024-01-24;Наушники;2000,0;Банковская карта
ORD0238;Елена Ильина;Москва;2024-01-25;Планшеты;10000,0;Банковская карта
ORD0039;Сергей Лебедев;Нижний Новгород;2024-01-25;Смартфоны;23409,68;Банковская карта
ORD0247;Елена Ильина;Санкт-Петербург;2024-01-26;Смартфоны;15000,0;Банковская карта
ORD0912;Андрей Васильев;Москва;2024-01-26;Аксессуары;511,63;Банковская карта
ORD0267;Елена Ильина;Нижний Новгород;2024-01-26;Ноутбуки;30000,0;Банковская карта
ORD0343;Елена Ильина;Москва;2024-01-26;Аксессуары;500,0;Банковская карта
ORD0853;Наталья Федорова;Москва;2024-01-26;Аксессуары;558,78;Банковская карта
ORD0064;Анна Морозова;Санкт-Петербург;2024-01-26;Ноутбуки;30000,0;Банковская карта
ORD0361;Ольга Соколова;Санкт-Петербург;2024-01-27;Игровые консоли;20000,0;Банковская карта
ORD0870;Ольга Соколова;Ростов-на-Дону;2024-01-27;Наушники;2868,78;Банковская карта
ORD0038;Андрей Васильев;Москва;2024-01-27;Наушники;2000,0;Банковская карта
ORD0037;Светлана Петрова;Санкт-Петербург;2024-01-27;Ноутбуки;30000,0;Банковская карта
ORD0418;Игорь Кузнецов;Санкт-Петербург;2024-01-27;Смартфоны;18829,42;Банковская карта
ORD0734;Максим Борисов;Новосибирск;2024-01-28;Ноутбуки;30000,0;Электронный кошелек
ORD0252;Алексей Козлов;Санкт-Петербург;2024-01-28;Планшеты;13632,28;Электронный кошелек
ORD0477;Роман Смирнов;Москва;2024-01-28;Аксессуары;932,67;Банковская карта
ORD0444;Дмитрий Волков;Санкт-Петербург;2024-01-28;Ноутбуки;30000,0;Наличные при получении
ORD0253;Татьяна Орлова;Самара;2024-01-28;Смартфоны;15000,0;Наличные при получении
ORD0365;Владимир Медведев;Ростов-на-Дону;2024-01-28;Наушники;2403,61;Банковская карта
ORD0579;Максим Борисов;Новосибирск;2024-01-28;Наушники;4402,65;Банковская карта
ORD0159;Дмитрий Волков;Москва;2024-01-28;Аксессуары;500,0;Банковская карта
ORD0147;Дмитрий Волков;Екатеринбург;2024-01-29;Аксессуары;500,0;Банковская карта
ORD0173;Виктория Зайцева;Новосибирск;2024-01-29;Наушники;2403,41;Банковская карта
ORD0397;Алексей Козлов;Самара;2024-01-29;Ноутбуки;33847,27;Банковская карта
ORD0002;Ольга Соколова;Ростов-на-Дону;2024-01-29;Планшеты;13613,86;Банковская карта
ORD0729;Андрей Васильев;Москва;2024-01-30;Аксессуары;562,07;Банковская карта
ORD0483;Екатерина Новикова;Новосибирск;2024-01-30;Планшеты;21846,25;Электронный кошелек
ORD0881;Андрей Васильев;Москва;2024-01-30;Наушники;2000,0;Банковская карта
ORD0470;Роман Смирнов;Ростов-на-Дону;2024-01-30;Аксессуары;500,0;Банковская карта
ORD0717;Владимир Медведев;Самара;2024-01-30;Смартфоны;36071,99;Наличные при получении
ORD0944;Максим Борисов;Самара;2024-01-30;Наушники;2368,27;Наличные при получении
ORD0207;Светлана Петрова;Москва;2024-01-31;Наушники;2000,0;Банковская карта
ORD0836;Ольга Соколова;Санкт-Петербург;2024-01-31;Наушники;3890,1;Электронный кошелек
ORD0897;Владимир Медведев;Москва;2024-01-31;Наушники;2493,78;Банковская карта
ORD0840;Андрей Васильев;Казань;2024-01-31;Смартфоны;37444,52;Банковская карта
ORD0504;Дмитрий Волков;Самара;2024-02-01;Ноутбуки;33497,41;Электронный кошелек
ORD0958;Дмитрий Волков;Москва;2024-02-01;Ноутбуки;35946,36;Электронный кошелек
ORD0589;Юлия Кравцова;Москва;2024-02-01;Ноутбуки;30000,0;Банковская карта
ORD0677;Анна Морозова;Москва;2024-02-02;Смартфоны;16498,38;Банковская карта
ORD0186;Дмитрий Волков;Казань;2024-02-02;Игровые консоли;20000,0;Электронный кошелек
ORD0867;Алексей Козлов;Москва;2024-02-02;Смартфоны;15000,0;Банковская карта
ORD0187;Татьяна Орлова;Самара;2024-02-02;Наушники;3257,81;Электронный кошелек
ORD0336;Мария Сидорова;Москва;2024-02-03;Наушники;2342,52;Банковская карта
ORD0347;Елена Ильина;Казань;2024-02-03;Ноутбуки;51525,7;Наличные при получении
ORD0231;Татьяна Орлова;Челябинск;2024-02-03;Аксессуары;602,24;Наличные при получении
ORD0391;Игорь Кузнецов;Ростов-на-Дону;2024-02-03;Смартфоны;18457,72;Банковская карта
ORD0591;Екатерина Новикова;Москва;2024-02-04;Наушники;3291,79;Наличные при получении
ORD0687;Андрей Васильев;Екатеринбург;2024-02-04;Игровые консоли;20000,0;Банковская карта
ORD0362;Сергей Лебедев;Казань;2024-02-04;Смартфоны;32273,1;Банковская карта
ORD0363;Виктория Зайцева;Новосибирск;2024-02-04;Наушники;2567,88;Банковская карта
ORD0122;Елена Ильина;Омск;2024-02-05;Игровые консоли;60000,0;Банковская карта
ORD0255;Елена Ильина;Москва;2024-02-05;Наушники;2000,0;Электронный кошелек
ORD0110;Дмитрий Волков;Москва;2024-02-05;Смартфоны;18992,64;Электронный кошелек
ORD0551;Елена Ильина;Новосибирск;2024-02-07;Игровые консоли;20000,0;Банковская карта
ORD0407;Елена Ильина;Санкт-Петербург;2024-02-07;Аксессуары;551,21;Банковская карта
ORD0628;Мария Сидорова;Нижний Новгород;2024-02-08;Планшеты;10000,0;Наличные при получении
ORD0401;Мария Сидорова;Москва;2024-02-08;Смартфоны;36081,78;Банковская карта
ORD0947;Андрей Васильев;Москва;2024-02-08;Ноутбуки;69365,8;Банковская карта
ORD0366;Мария Сидорова;Санкт-Петербург;2024-02-09;Смартфоны;15000,0;Банковская карта
ORD0632;Елена Ильина;Омск;2024-02-09;Ноутбуки;56677,32;Наличные при получении
ORD0424;Наталья Федорова;Новосибирск;2024-02-09;Смартфоны;15000,0;Банковская карта
ORD0164;Ольга Соколова;Екатеринбург;2024-02-09;Наушники;2000,0;Наличные при получении
ORD0034;Дмитрий Волков;Ростов-на-Дону;2024-02-09;Смартфоны;15000,0;Электронный кошелек
ORD0128;Дмитрий Волков;Самара;2024-02-09;Ноутбуки;62043,0;Банковская карта
ORD0308;Виктория Зайцева;Санкт-Петербург;2024-02-10;Аксессуары;780,34;Наличные при получении
ORD0352;Елена Ильина;Самара;2024-02-10;Планшеты;17254,54;Электронный кошелек
ORD0031;Дмитрий Волков;Екатеринбург;2024-02-10;Смартфоны;15000,0;Банковская карта
ORD0307;Елена Ильина;Новосибирск;2024-02-10;Наушники;2000,0;Банковская карта
ORD0427;Елена Ильина;Санкт-Петербург;2024-02-11;Смартфоны;15000,0;Банковская карта
ORD0995;Андрей Васильев;Санкт-Петербург;2024-02-11;Аксессуары;500,0;Банковская карта
ORD0070;Наталья Федорова;Ростов-на-Дону;2024-02-11;Ноутбуки;30000,0;Банковская карта
ORD0393;Елена Ильина;Санкт-Петербург;2024-02-11;Смартфоны;15329,94;Банковская карта
ORD0192;Елена Ильина;Омск;2024-02-12;Планшеты;10000,0;Электронный кошелек
ORD0675;Алексей Козлов;Санкт-Петербург;2024-02-12;Аксессуары;500,0;Электронный кошелек
ORD0273;Светлана Петрова;Самара;2024-02-12;Аксессуары;521,4;Банковская карта
ORD0952;Андрей Васильев;Казань;2024-02-12;Смартфоны;15000,0;Наличные при получении
ORD0724;Иван Петров;Нижний Новгород;2024-02-12;Смартфоны;33919,11;Банковская карта
ORD0278;Владимир Медведев;Казань;2024-02-12;Игровые консоли;28351,61;Банковская карта
ORD0077;Дмитрий Волков;Челябинск;2024-02-13;Ноутбуки;39933,92;Банковская карта
ORD0518;Михаил Попов;Самара;2024-02-14;Аксессуары;500,0;Банковская карта
ORD0920;Ольга Соколова;Москва;2024-02-14;Ноутбуки;41448,1;Банковская карта
ORD0581;Михаил Попов;Новосибирск;2024-02-15;Смартфоны;23164,65;Банковская карта
ORD0429;Татьяна Орлова;Санкт-Петербург;2024-02-15;Наушники;2000,0;Банковская карта
ORD0858;Андрей Васильев;Новосибирск;2024-02-15;Планшеты;15145,16;Банковская карта
ORD0473;Михаил Попов;Москва;2024-02-15;Аксессуары;500,0;Электронный кошелек
ORD0257;Виктория Зайцева;Ростов-на-Дону;2024-02-16;Смартфоны;15000,0;Банковская карта
ORD0987;Виктория Зайцева;Нижний Новгород;2024-02-16;Наушники;2000,0;Банковская карта
ORD0688;Мария Сидорова;Москва;2024-02-16;Планшеты;10889,7;Банковская карта
ORD0844;Иван Петров;Ростов-на-Дону;2024-02-17;Наушники;2000,0;Электронный кошелек
ORD0876;Андрей Васильев;Москва;2024-02-17;Планшеты;10000,0;Банковская карта
ORD0845;Игорь Кузнецов;Москва;2024-02-17;Игровые консоли;20000,0;Банковская карта
ORD0254;Мария Сидорова;Санкт-Петербург;2024-02-18;Смартфоны;15000,0;Наличные при получении
ORD0055;Мария Сидорова;Екатеринбург;2024-02-19;Игровые консоли;46175,91;Наличные при получении
ORD0564;Михаил Попов;Москва;2024-02-19;Ноутбуки;43822,98;Банковская карта
ORD0838;Алексей Козлов;Санкт-Петербург;2024-02-19;Ноутбуки;46901,34;Банковская карта
ORD0512;Екатерина Новикова;Санкт-Петербург;2024-02-19;Наушники;2547,43;Электронный кошелек
ORD0855;Владимир Медведев;Москва;2024-02-19;Игровые консоли;20000,0;Банковская карта
ORD0942;Игорь Кузнецов;Екатеринбург;2024-02-20;Ноутбуки;30000,0;Наличные при получении
ORD0163;Елена Ильина;Казань;2024-02-20;Ноутбуки;39473,88;Банковская карта
ORD0739;Андрей Васильев;Санкт-Петербург;2024-02-20;Ноутбуки;30000,0;Электронный кошелек
ORD0550;Виктория Зайцева;Челябинск;2024-02-20;Наушники;2308,99;Банковская карта
ORD0200;Ольга Соколова;Челябинск;2024-02-21;Смартфоны;42617,78;Банковская карта
ORD0449;Елена Ильина;Санкт-Петербург;2024-02-21;Игровые консоли;20000,0;Банковская карта
ORD0330;Игорь Кузнецов;Москва;2024-02-22;Планшеты;10000,0;Банковская карта
ORD0640;Максим Борисов;Санкт-Петербург;2024-02-22;Игровые консоли;60000,0;Наличные при получении
ORD0372;Владимир Медведев;Москва;2024-02-22;Смартфоны;15000,0;Наличные при получении
ORD0071;Андрей Васильев;Челябинск;2024-02-23;Ноутбуки;50645,8;Наличные при получении
ORD0526;Михаил Попов;Новосибирск;2024-02-23;Ноутбуки;30000,0;Банковская карта
ORD0369;Дмитрий Волков;Москва;2024-02-23;Смартфоны;15000,0;Банковская карта
ORD0533;Юлия Кравцова;Ростов-на-Дону;2024-02-24;Наушники;2000,0;Банковская карта
ORD0275;Андрей Васильев;Новосибирск;2024-02-24;Планшеты;12273,79;Электронный кошелек
ORD0800;Владимир Медведев;Омск;2024-02-24;Смартфоны;15000,0;Банковская карта
ORD0917;Андрей Васильев;Москва;2024-02-24;Аксессуары;500,0;Наличные при получении
ORD0916;Ольга Соколова;Санкт-Петербург;2024-02-24;Наушники;5279,1;Наличные при получении
ORD0346;Виктория Зайцева;Казань;2024-02-24;Ноутбуки;61367,52;Наличные при получении
ORD0196;Елена Ильина;Санкт-Петербург;2024-02-24;Аксессуары;620,85;Банковская карта
ORD0103;Светлана Петрова;Санкт-Петербург;2024-02-24;Аксессуары;500,0;Банковская карта
ORD0720;Ольга Соколова;Нижний Новгород;2024-02-25;Смартфоны;21208,7;Банковская карта
ORD0035;Андрей Васильев;Ростов-на-Дону;2024-02-25;Смартфоны;15248,01;Наличные при получении
ORD0016;Светлана Петрова;Москва;2024-02-25;Игровые консоли;43060,07;Банковская карта
ORD0017;Сергей Лебедев;Санкт-Петербург;2024-02-25;Смартфоны;15000,0;Банковская карта
ORD0215;Елена Ильина;Нижний Новгород;2024-02-26;Наушники;2000,0;Наличные при получении
ORD0667;Андрей Васильев;Москва;2024-02-26;Смартфоны;15000,0;Банковская карта
ORD0580;Михаил Попов;Москва;2024-02-26;Планшеты;16367,7;Наличные при получении
ORD0086;Наталья Федорова;Санкт-Петербург;2024-02-26;Планшеты;10000,0;Банковская карта
ORD0121;Дмитрий Волков;Челябинск;2024-02-26;Аксессуары;855,0;Наличные при получении
ORD0023;Дмитрий Волков;Москва;2024-02-26;Игровые консоли;21665,94;Электронный кошелек
ORD0448;Елена Ильина;Челябинск;2024-02-26;Аксессуары;500,0;Банковская карта
ORD0548;Анна Морозова;Казань;2024-02-27;Планшеты;23687,17;Банковская карта
ORD0901;Юлия Кравцова;Москва;2024-02-27;Планшеты;13520,52;Банковская карта
ORD0209;Виктория Зайцева;Москва;2024-02-27;Ноутбуки;35343,27;Банковская карта
ORD0213;Михаил Попов;Казань;2024-02-28;Смартфоны;15000,0;Банковская карта
ORD0219;Наталья Федорова;Казань;2024-02-28;Наушники;3072,13;Электронный кошелек
ORD0059;Дмитрий Волков;Москва;2024-02-28;Планшеты;15003,5;Наличные при получении
ORD0091;Дмитрий Волков;Москва;2024-02-28;Игровые консоли;47967,53;Наличные при получении
ORD0927;Владимир Медведев;Москва;2024-02-29;Планшеты;17951,69;Наличные при получении
ORD0629;Сергей Лебедев;Москва;2024-02-29;Смартфоны;19683,68;Банковская карта
ORD0935;Игорь Кузнецов;Москва;2024-02-29;Наушники;2000,0;Наличные при получении
ORD0835;Максим Борисов;Новосибирск;2024-02-29;Аксессуары;500,0;Банковская карта
ORD0315;Мария Сидорова;Самара;2024-03-01;Планшеты;12606,19;Электронный кошелек
ORD0623;Алексей Козлов;Санкт-Петербург;2024-03-01;Планшеты;10000,0;Банковская карта
ORD0272;Елена Ильина;Самара;2024-03-01;Аксессуары;741,84;Банковская карта
ORD0545;Андрей Васильев;Казань;2024-03-01;Игровые консоли;25786,9;Банковская карта
ORD0813;Владимир Медведев;Москва;2024-03-02;Ноутбуки;30000,0;Наличные при получении
ORD0334;Светлана Петрова;Москва;2024-03-02;Игровые консоли;28837,24;Наличные при получении
ORD0335;Сергей Лебедев;Москва;2024-03-02;Игровые консоли;23647,59;Банковская карта
ORD0179;Елена Ильина;Ростов-на-Дону;2024-03-02;Аксессуары;1398,11;Наличные при получении
ORD0811;Елена Ильина;Ростов-на-Дону;2024-03-02;Наушники;2000,0;Банковская карта
ORD0178;Елена Ильина;Санкт-Петербург;2024-03-02;Смартфоны;20317,36;Наличные при получении
ORD0714;Мария Сидорова;Санкт-Петербург;2024-03-02;Планшеты;10000,0;Банковская карта
ORD0715;Андрей Васильев;Санкт-Петербург;2024-03-02;Смартфоны;15000,0;Банковская карта
ORD0004;Светлана Петрова;Екатеринбург;2024-03-03;Наушники;2000,0;Банковская карта
ORD0571;Виктория Зайцева;Новосибирск;2024-03-03;Планшеты;10000,0;Банковская карта
ORD0080;Юлия Кравцова;Москва;2024-03-03;Игровые консоли;20000,0;Наличные при получении
ORD0351;Роман Смирнов;Новосибирск;2024-03-03;Аксессуары;606,69;Наличные при получении
ORD0081;Елена Ильина;Самара;2024-03-03;Аксессуары;663,09;Банковская карта
ORD0234;Елена Ильина;Новосибирск;2024-03-03;Смартфоны;27655,78;Электронный кошелек
ORD0788;Андрей Васильев;Санкт-Петербург;2024-03-03;Наушники;2000,0;Банковская карта
ORD0005;Светлана Петрова;Москва;2024-03-03;Аксессуары;916,52;Банковская карта
ORD0570;Татьяна Орлова;Санкт-Петербург;2024-03-03;Планшеты;19115,91;Электронный кошелек
ORD0793;Мария Сидорова;Новосибирск;2024-03-03;Планшеты;10000,0;Банковская карта
ORD0822;Наталья Федорова;Москва;2024-03-03;Смартфоны;20331,54;Банковская карта
ORD0208;Ольга Соколова;Казань;2024-03-04;Ноутбуки;30050,68;Электронный кошелек
ORD0586;Иван Петров;Москва;2024-03-04;Смартфоны;31324,03;Наличные при получении
ORD0614;Екатерина Новикова;Москва;2024-03-04;Ноутбуки;30000,0;Наличные при получении
ORD0111;Наталья Федорова;Москва;2024-03-04;Аксессуары;519,35;Банковская карта
ORD0896;Алексей Козлов;Москва;2024-03-04;Наушники;2942,05;Электронный кошелек
ORD0877;Андрей Васильев;Нижний Новгород;2024-03-05;Планшеты;10000,0;Банковская карта
ORD0137;Дмитрий Волков;Новосибирск;2024-03-05;Аксессуары;500,0;Банковская карта
ORD0970;Андрей Васильев;Новосибирск;2024-03-05;Смартфоны;47849,97;Банковская карта
ORD0698;Мария Сидорова;Екатеринбург;2024-03-05;Смартфоны;15000,0;Банковская карта
ORD0486;Ольга Соколова;Омск;2024-03-06;Ноутбуки;30000,0;Электронный кошелек
ORD0721;Татьяна Орлова;Ростов-на-Дону;2024-03-06;Смартфоны;15000,0;Электронный кошелек
ORD0612;Игорь Кузнецов;Челябинск;2024-03-07;Наушники;2000,0;Банковская карта
ORD0801;Елена Ильина;Нижний Новгород;2024-03-07;Игровые консоли;30469,44;Наличные при получении
ORD0472;Дмитрий Волков;Ростов-на-Дону;2024-03-07;Наушники;3051,78;Электронный кошелек
ORD0329;Татьяна Орлова;Санкт-Петербург;2024-03-07;Наушники;2097,65;Наличные при получении
ORD0042;Юлия Кравцова;Новосибирск;2024-03-08;Аксессуары;500,0;Банковская карта
ORD0115;Светлана Петрова;Казань;2024-03-08;Планшеты;15443,11;Наличные при получении
ORD0154;Дмитрий Волков;Новосибирск;2024-03-08;Наушники;2000,0;Наличные при получении
ORD0392;Андрей Васильев;Санкт-Петербург;2024-03-08;Смартфоны;18910,07;Банковская карта
ORD0282;Виктория Зайцева;Санкт-Петербург;2024-03-08;Наушники;2521,21;Банковская карта
ORD0193;Ольга Соколова;Омск;2024-03-08;Ноутбуки;30000,0;Наличные при получении
ORD0376;Мария Сидорова;Санкт-Петербург;2024-03-08;Аксессуары;500,92;Банковская карта
ORD0475;Михаил Попов;Новосибирск;2024-03-08;Ноутбуки;30000,0;Банковская карта
ORD0949;Дмитрий Волков;Омск;2024-03-09;Ноутбуки;30000,0;Банковская карта
ORD0442;Ольга Соколова;Ростов-на-Дону;2024-03-09;Смартфоны;15000,0;Банковская карта
ORD0145;Дмитрий Волков;Москва;2024-03-09;Ноутбуки;30000,0;Банковская карта
ORD0787;Екатерина Новикова;Екатеринбург;2024-03-09;Наушники;3218,52;Электронный кошелек
ORD0441;Алексей Козлов;Москва;2024-03-09;Игровые консоли;26930,16;Банковская карта
ORD0097;Дмитрий Волков;Новосибирск;2024-03-09;Смартфоны;17377,26;Банковская карта
ORD0981;Максим Борисов;Санкт-Петербург;2024-03-09;Смартфоны;23687,23;Банковская карта
